"","no_c","no_e","ta_c","ta_e","tb_c","tb_e","inc_c1","inc_e1","inc_c2","inc_e2"
"1",4987.92934250615,3.2134088220152,6884.39646781344,3.79270224707666,7494.63375351375,3.91474970421672,1896.46712530729,0.579293425061458,2506.7044110076,0.70134088220152
"2",5002.77429242111,3.15093141033091,7641.48891347644,3.87867433454197,7478.23999758656,3.846024551364,2638.71462105533,0.727742924211066,2475.46570516545,0.69509314103309
"3",5010.84441176683,3.15594521276468,8053.06500010836,3.96438933043298,7488.81701814917,3.85153973404115,3042.22058834153,0.808444117668306,2477.97260638234,0.695594521276468
"4",4976.54302297371,3.24595894410059,6303.69417165903,3.71138917383765,7499.522495024,3.95055483851064,1327.15114868533,0.465430229737065,2522.97947205029,0.704595894410059
"5",5004.29124688811,3.13062797530625,7718.85359129363,3.87354044418736,7469.60523454124,3.82369077283688,2714.56234440552,0.742912468881105,2465.31398765313,0.693062797530625
"6",5005.06055892158,3.05517950896135,7758.08850500036,3.80578509817711,7432.65031340225,3.74069745985749,2753.02794607879,0.750605589215757,2427.58975448068,0.685517950896135
"7",4994.25260039865,3.25747557209007,7206.88262033133,3.90000157607661,7522.99038644369,3.96322312929908,2212.63001993268,0.642526003986535,2528.73778604504,0.705747557209007
"8",4994.53368144216,3.09763442770361,7221.21775355007,3.74297124212519,7443.35089529396,3.78739787047397,2226.68407210791,0.645336814421581,2448.81721385181,0.689763442770361
"9",4994.35548000907,3.19848616996358,7212.12948046242,3.84204097005425,7493.59856499086,3.89833478695994,2217.77400045336,0.643554800090672,2499.24308498179,0.699848616996358
"10",4991.09962170956,3.10640513988316,7046.08070718751,3.71740135697875,7444.30219165114,3.79704565387148,2054.98108547795,0.61099621709559,2453.20256994158,0.690640513988316
"11",4995.22807300246,3.31022975462003,7256.63172312569,3.96251048464467,7550.34295031248,4.02125273008203,2261.40365012323,0.652280730024645,2555.11487731001,0.711022975462003
"12",4990.0161355514,3.15244069211309,6990.82291312155,3.75260204762712,7466.23648160795,3.8476847613244,2000.80677757015,0.60016135551403,2476.22034605655,0.695244069211309
"13",4992.23746105362,3.12905599624875,7104.11051373462,3.75143060678495,7456.765459178,3.82196159587362,2111.873052681,0.622374610536201,2464.52799812437,0.692905599624875
"14",5000.64458817276,3.14987419394052,7532.8739968109,3.85632007566815,7475.58168514302,3.84486161333458,2532.22940863813,0.706445881727627,2474.93709697026,0.694987419394052
"15",5009.59494058971,3.03709065309213,7989.34197007509,3.83304005898921,7428.14026713577,3.72079971840134,2979.74702948539,0.795949405897077,2418.54532654606,0.683709065309213
"16",4998.89714505609,3.08323807379058,7443.7543978607,3.7722095243515,7440.51618195138,3.77156188116964,2444.85725280461,0.688971450560923,2441.61903689529,0.688323807379058
"17",4994.88990494193,2.98199603510513,7239.38515203861,3.63089508452447,7385.8879224945,3.66019563861565,2244.49524709668,0.648899049419336,2390.99801755257,0.678199603510513
"18",4990.8880458337,3.06590068079,7035.2903375188,3.67478113912702,7423.8383862287,3.752490748869,2044.40229168509,0.608880458337019,2432.950340395,0.686590068079
"19",4991.62828319731,3.17057061412363,7073.04244306284,3.78685344609673,7476.91359025912,3.86762767553599,2081.41415986553,0.616282831973106,2485.28530706181,0.697057061412363
"20",5024.15835178489,3.15341024595939,8732.07594102956,4.09499376380832,7500.86347476459,3.84875127055533,3707.91758924467,0.941583517848934,2476.70512297969,0.695341024595939
